id,date,time,milli sec,timestamp1,l_fm_odg_spab11,d_ffb_cfb,d_ffb_ltf,l_fm_odg_ffbmps,steelidtotal,type
282,2019-5-10,18:57:39,0,1557514659,1,1016,552,22.160913,2019-05-10 08:25:18 NO405,
283,2019-5-10,18:57:39,250,1557514659,1,997,551,22.158497,2019-05-10 08:25:18 NO405,
284,2019-5-10,18:57:39,500,1557514660,1,1020,551,22.158497,2019-05-10 08:25:18 NO405,
285,2019-5-10,18:57:39,750,1557514660,1,1007,549,22.160913,2019-05-10 08:25:18 NO405,
286,2019-5-10,18:57:40,0,1557514660,1,1021,549,22.160913,2019-05-10 08:25:18 NO405,
287,2019-5-10,18:57:40,250,1557514660,1,993,548,22.162121,2019-05-10 08:25:18 NO405,
288,2019-5-10,18:57:40,500,1557514661,1,1001,548,22.159706,2019-05-10 08:25:18 NO405,
289,2019-5-10,18:57:40,750,1557514661,1,1014,549,22.15729,2019-05-10 08:25:18 NO405,
290,2019-5-10,18:57:41,0,1557514661,1,998,550,22.159706,2019-05-10 08:25:18 NO405,
291,2019-5-10,18:57:41,250,1557514661,1,1001,548,22.160913,2019-05-10 08:25:18 NO405,
292,2019-5-10,18:57:41,500,1557514662,1,1011,547,22.159706,2019-05-10 08:25:18 NO405,
293,2019-5-10,18:57:41,750,1557514662,1,1015,548,22.160913,2019-05-10 08:25:18 NO405,
294,2019-5-10,18:57:42,0,1557514662,1,996,547,22.159706,2019-05-10 08:25:18 NO405,
295,2019-5-10,18:57:42,250,1557514662,1,1008,547,22.158497,2019-05-10 08:25:18 NO405,
296,2019-5-10,18:57:42,500,1557514663,1,994,547,22.159706,2019-05-10 08:25:18 NO405,
297,2019-5-10,18:57:42,750,1557514663,1,999,546,22.160913,2019-05-10 08:25:18 NO405,
298,2019-5-10,18:57:43,0,1557514663,1,988,547,22.15729,2019-05-10 08:25:18 NO405,
299,2019-5-10,18:57:43,250,1557514663,1,1008,547,22.158497,2019-05-10 08:25:18 NO405,
300,2019-5-10,18:57:43,500,1557514664,1,998,546,22.158497,2019-05-10 08:25:18 NO405,
301,2019-5-10,18:57:43,750,1557514664,1,1005,545,22.160913,2019-05-10 08:25:18 NO405,
302,2019-5-10,18:57:44,0,1557514664,1,991,546,22.159706,2019-05-10 08:25:18 NO405,
303,2019-5-10,18:57:44,250,1557514664,1,999,546,22.159706,2019-05-10 08:25:18 NO405,
304,2019-5-10,18:57:44,500,1557514665,1,1012,548,22.159706,2019-05-10 08:25:18 NO405,
305,2019-5-10,18:57:44,750,1557514665,1,1003,549,22.15729,2019-05-10 08:25:18 NO405,
306,2019-5-10,18:57:45,0,1557514665,1,1006,550,22.159706,2019-05-10 08:25:18 NO405,
307,2019-5-10,18:57:45,250,1557514665,1,996,552,22.160913,2019-05-10 08:25:18 NO405,
308,2019-5-10,18:57:45,500,1557514666,1,1023,554,22.159706,2019-05-10 08:25:18 NO405,
309,2019-5-10,18:57:45,750,1557514666,1,1010,556,22.15729,2019-05-10 08:25:18 NO405,
310,2019-5-10,18:57:46,0,1557514666,1,1013,556,22.158497,2019-05-10 08:25:18 NO405,
311,2019-5-10,18:57:46,250,1557514666,1,1004,555,22.160913,2019-05-10 08:25:18 NO405,
312,2019-5-10,18:57:46,500,1557514667,1,1011,554,22.159706,2019-05-10 08:25:18 NO405,
313,2019-5-10,18:57:46,750,1557514667,1,1007,552,22.160913,2019-05-10 08:25:18 NO405,
314,2019-5-10,18:57:47,0,1557514667,1,1017,551,22.158497,2019-05-10 08:25:18 NO405,
315,2019-5-10,18:57:47,250,1557514667,1,1012,549,22.159706,2019-05-10 08:25:18 NO405,
316,2019-5-10,18:57:47,500,1557514668,1,1004,549,22.159706,2019-05-10 08:25:18 NO405,
317,2019-5-10,18:57:47,750,1557514668,1,1003,551,22.160913,2019-05-10 08:25:18 NO405,
318,2019-5-10,18:57:48,0,1557514668,1,997,550,22.159706,2019-05-10 08:25:18 NO405,
319,2019-5-10,18:57:48,250,1557514668,1,988,549,22.158497,2019-05-10 08:25:18 NO405,
320,2019-5-10,18:57:48,500,1557514669,1,1000,552,22.158497,2019-05-10 08:25:18 NO405,
321,2019-5-10,18:57:48,750,1557514669,1,996,552,22.159706,2019-05-10 08:25:18 NO405,
322,2019-5-10,18:57:49,0,1557514669,1,999,552,22.159706,2019-05-10 08:25:18 NO405,
323,2019-5-10,18:57:49,250,1557514669,1,1005,554,22.159706,2019-05-10 08:25:18 NO405,
324,2019-5-10,18:57:49,500,1557514670,1,1001,554,22.158497,2019-05-10 08:25:18 NO405,
325,2019-5-10,18:57:49,750,1557514670,1,1000,552,22.159706,2019-05-10 08:25:18 NO405,
326,2019-5-10,18:57:50,0,1557514670,1,1011,551,22.159706,2019-05-10 08:25:18 NO405,
327,2019-5-10,18:57:50,250,1557514670,1,997,552,22.160913,2019-05-10 08:25:18 NO405,
328,2019-5-10,18:57:50,500,1557514671,1,998,553,22.159706,2019-05-10 08:25:18 NO405,
329,2019-5-10,18:57:50,750,1557514671,1,1005,553,22.158497,2019-05-10 08:25:18 NO405,
330,2019-5-10,18:57:51,0,1557514671,1,1006,554,22.159706,2019-05-10 08:25:18 NO405,
331,2019-5-10,18:57:51,250,1557514671,1,1008,555,22.159706,2019-05-10 08:25:18 NO405,
332,2019-5-10,18:57:51,500,1557514672,1,1012,555,22.163328,2019-05-10 08:25:18 NO405,
333,2019-5-10,18:57:51,750,1557514672,1,998,555,22.159706,2019-05-10 08:25:18 NO405,
334,2019-5-10,18:57:52,0,1557514672,1,1008,557,22.159706,2019-05-10 08:25:18 NO405,
335,2019-5-10,18:57:52,250,1557514672,1,1018,558,22.158497,2019-05-10 08:25:18 NO405,
336,2019-5-10,18:57:52,500,1557514673,1,1013,558,22.160913,2019-05-10 08:25:18 NO405,
337,2019-5-10,18:57:52,750,1557514673,1,1013,559,22.162121,2019-05-10 08:25:18 NO405,
338,2019-5-10,18:57:53,0,1557514673,1,1014,558,22.160913,2019-05-10 08:25:18 NO405,
339,2019-5-10,18:57:53,250,1557514673,1,1017,558,22.159706,2019-05-10 08:25:18 NO405,
340,2019-5-10,18:57:53,500,1557514674,1,1007,556,22.162121,2019-05-10 08:25:18 NO405,
341,2019-5-10,18:57:53,750,1557514674,1,1030,555,22.160913,2019-05-10 08:25:18 NO405,
342,2019-5-10,18:57:54,0,1557514674,1,1020,556,22.162121,2019-05-10 08:25:18 NO405,
343,2019-5-10,18:57:54,250,1557514674,1,1015,556,22.15729,2019-05-10 08:25:18 NO405,
344,2019-5-10,18:57:54,500,1557514675,1,1014,557,22.159706,2019-05-10 08:25:18 NO405,
345,2019-5-10,18:57:54,750,1557514675,1,1016,555,22.158497,2019-05-10 08:25:18 NO405,
346,2019-5-10,18:57:55,0,1557514675,1,1000,556,22.162121,2019-05-10 08:25:18 NO405,
